,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,tag,hand_labeled
5913,Tonga2020,GriffGreen,joinging te params hack sesh cadcad models,Telegram,2021-01-11,te praise,100.0,25.0,40.0,0.001367101958,1.025326469,11.99140286,TEC3,TEC3
5921,mateodaza,liviade,joining soft gov call working code conduct document,Telegram,2021-01-06,te praise,45.0,55.0,45.0,0.001249495772,0.9371218291,11.85725869,TEC2,TEC2
5927,mateodaza,iviangita,development source cred work behind scenes everything ready,Telegram,2021-01-15,te praise,100.0,55.0,100.0,0.002129044341,1.596783256,11.85725869,TEC2,TEC14
5931,niranb,liviade,sending pan continuity governing commons book club,Telegram,2021-01-15,te praise,400.0,50.0,400.0,0.00687841243,5.158809323,10.30560999,TEC5,TEC13
5939,JuankBell,GriffGreen,donating commons stack community fund panvala league grant,Telegram,2021-01-05,commons stack,60.0,100.0,60.0,0.001922898666,1.442174,9.575225457,TEC13,TEC13
5940,JuankBell,Tonga2020,leading book club governing commons chapter,Telegram,2021-01-06,te praise,100.0,155.0,200.0,0.00388064388,2.91048291,9.575225457,TEC5,TEC2
5942,JuankBell,liviade,joining soft gov call working code conduct document,Telegram,2021-01-06,te praise,45.0,55.0,45.0,0.001249495772,0.9371218291,9.575225457,TEC2,TEC2
5950,JuankBell,JessicaZartler,valuable time feedback joining communications working group call today thank,Telegram,2021-01-12,te praise,20.0,25.0,45.0,0.0007577357279,0.5683017959,9.575225457,TEC1,TEC12
5954,JuankBell,iviangita,joining tec weekly sync,Telegram,2021-01-15,te praise,10.0,25.0,40.0,0.0006372282264,0.4779211698,9.575225457,TEC15,TEC12
5960,xgabi,iviangita,coding working connector sem paulo,Telegram,2021-01-02,te praise,200.0,200.0,230.0,0.005361603225,4.021202419,9.46038485,TEC1,TEC14
5967,solsista,ygganderson,glue keeps people projects together see active every single discord channel major praise,Telegram,2021-01-06,te praise,100.0,155.0,150.0,0.003486539679,2.614904759,9.433990569,TEC1,TEC16
5975,knobsDAO,iviangita,starting sync crm tec stuff,Telegram,2021-01-08,te praise,100.0,155.0,130.0,0.003328897998,2.496673499,9.40149574,TEC15,TEC15
5977,knobsDAO,iviangita,joining tec community call week,Telegram,2021-01-08,te praise,20.0,25.0,20.0,0.0005606836273,0.4205127205,9.40149574,TEC15,TEC12
5979,naynaysoo,iviangita,replying really good question legal forum post,Telegram,2021-01-02,te praise,200.0,50.0,100.0,0.002891845597,2.168884198,9.294000678,TEC1,TEC4
5989,JessicaZartler,liviade,writing projects submit proposals tec https forum tecommons org tec funding proposals kinds projects apply 191,Telegram,2021-01-05,te praise,500.0,200.0,600.0,0.01071088675,8.033165065,8.658705897,TEC1,TEC1
5991,JessicaZartler,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,8.658705897,TEC5,TEC13
6002,JessicaZartler,PKK777,giving power praise,Telegram,2021-01-08,te praise,5.0,25.0,10.0,0.0003602171651,0.2701628738,8.658705897,TEC16,TEC15
6006,JessicaZartler,JuankBell,amazing contributions designing study plan gravity training promoting gather interested people different communities,Telegram,2021-01-10,te praise,100.0,50.0,110.0,0.002159695624,1.619771718,8.658705897,TEC17,TEC17
6012,JessicaZartler,liviade,sharing life stories gravity call fascinated honor paths,Telegram,2021-01-15,te praise,45.0,25.0,40.0,0.000921068011,0.6908010083,8.658705897,TEC17,TEC17
6013,JessicaZartler,JuankBell,assisting yesterday' introductory session gravity training amazing see coming different life experiences lives end encountering moment ones history valuable helps us undertand oneself,Telegram,2021-01-15,duplicate,0.0,0.0,0.0,0.0,0.0,8.658705897,TEC17,TEC17
6015,anjablaj,Santigs67,joining legal wg session,Telegram,2021-01-09,te praise,100.0,25.0,120.0,0.00199766868,1.49825151,8.251860537,TEC4,TEC12
6016,akrtws ,JuankBell,influence making experience tec something unforgettable motivating enlightening much gratitude admiration respect,Telegram,2021-01-02,te praise,20.0,25.0,15.0,0.0005212732072,0.3909549054,8.078071742,TEC15,TEC15
6026,GriffGreen,liviade,jumping first praise quant year,Telegram,2021-01-02,te praise,,,,0.0,1.644736842105263,7.647892105,TEC16,TEC2
6038,GriffGreen,iviangita,standing present every group,Telegram,2021-01-08,te praise,,,,0.0,1.644736842105263,7.647892105,TEC2,TEC16
6039,GriffGreen,iviangita,putting much work stewards tec community everyone call sticking around always showing taking responsibilities,Telegram,2021-01-08,te praise,,,,0.0,1.644736842105263,7.647892105,TEC15,TEC8
6041,GriffGreen,PKK777,giving power praise,Telegram,2021-01-08,te praise,,,,0.0,1.644736842105263,7.647892105,TEC16,TEC16
6044,GriffGreen,ygganderson,getting bottom bottom particular details hatch including crazy exchange rate math great work fellas https forum tecommons org hatch exchange rate 190,Telegram,2021-01-09,te praise,,,,0.0,1.644736842105263,7.647892105,TEC1,TEC3
6046,GriffGreen,JuankBell,joining las week' gravity wg call thank time ideas really happy gravity training,Telegram,2021-01-10,te praise,,,,0.0,1.644736842105263,7.647892105,TEC17,TEC17
6047,GriffGreen,JuankBell,amazing contributions designing study plan gravity training promoting gather interested people different communities,Telegram,2021-01-10,te praise,,,,0.0,1.644736842105263,7.647892105,TEC17,TEC17
6056,GriffGreen,iviangita,joining tec weekly sync,Telegram,2021-01-15,te praise,,,,0.0,1.644736842105263,7.647892105,TEC15,TEC12
6063,VitorMarthendal,GriffGreen,joining commons stack simulator sync continuing push project finish line,Telegram,2021-01-08,cs ddev team,10.0,25.0,20.0,0.000479586546,0.3596899095,6.835940875,TEC5,TEC5
6066,liviade,Tonga2020,leading book club governing commons chapter,Telegram,2021-01-06,te praise,100.0,155.0,200.0,0.00388064388,2.91048291,6.767403323,TEC5,TEC2
6068,liviade,iviangita,amazing work ladies community,Telegram,2021-01-08,te praise,150.0,100.0,120.0,0.003125697439,2.344273079,6.767403323,TEC15,TEC15
6070,liviade,iviangita,putting much work stewards tec community everyone call sticking around always showing taking responsibilities,Telegram,2021-01-08,te praise,150.0,200.0,230.0,0.004956117819,3.717088364,6.767403323,TEC15,TEC8
6072,liviade,JuankBell,joining las week' gravity wg call thank time ideas really happy gravity training,Telegram,2021-01-10,te praise,35.0,50.0,50.0,0.001159639554,0.8697296656,6.767403323,TEC17,TEC17
6079,liviade,iviangita,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,Telegram,2021-01-14,te commons,100.0,125.0,120.0,0.002961059817,2.220794863,6.767403323,TEC1,TEC12
6087,liviade,JuankBell,leadership soft gov continous work community projects,Telegram,2021-01-15,te praise,200.0,100.0,250.0,0.004555853769,3.416890327,6.767403323,TEC2,TEC2
6089,liviade,Santigs67,joining weekly legal wg call,Telegram,2021-01-15,te praise,35.0,25.0,40.0,0.0008399709297,0.6299781973,6.767403323,TEC4,TEC12
6094,freedumbs00,JuankBell,influence making experience tec something unforgettable motivating enlightening much gratitude admiration respect,Telegram,2021-01-02,te praise,,,,0.0,1.644736842105263,6.414607895,TEC15,TEC16
6097,freedumbs00,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,,,,0.0,1.644736842105263,6.414607895,TEC5,TEC13
6100,freedumbs00,iviangita,always coming offering help,Telegram,2021-01-08,te praise,,,,0.0,1.644736842105263,6.414607895,TEC16,TEC16
6107,freedumbs00,JessicaZartler,valuable time feedback joining communications working group call today thank,Telegram,2021-01-12,te praise,,,,0.0,1.644736842105263,6.414607895,TEC1,TEC12
6109,freedumbs00,liviade,hosting tec open house dao rush week,Telegram,2021-01-13,te praise,,,,0.0,1.644736842105263,6.414607895,TEC15,TEC15
6116,freedumbs00,liviade,joining two hours hack session code conduct guys rock,Telegram,2021-01-15,te praise,,,,0.0,1.644736842105263,6.414607895,TEC2,TEC2
6117,freedumbs00,JuankBell,assisting yesterday' introductory session gravity training amazing see coming different life experiences lives end encountering moment ones history valuable helps us undertand oneself,Telegram,2021-01-15,te praise,,,,0.0,1.644736842105263,6.414607895,TEC17,TEC12
6122,ludo_lb,GriffGreen,great progress made commons stack swag store,Telegram,2021-01-12,commons stack,200.0,55.0,200.0,0.003728223556,2.796167667,6.226213784,TEC5,TEC16
6123,Tam2140,iviangita,preparing first book club year juan,Telegram,2021-01-02,te praise,25.0,200.0,120.0,0.00307537506,2.306531295,6.032774268,TEC2,TEC16
6126,Tam2140,sembrestels,coming gardens swarm weekly sync,Telegram,2021-01-04,te praise,20.0,25.0,40.0,0.0007183253078,0.5387439808,6.032774268,TEC5,TEC5
6131,Tam2140,Tonga2020,leading book club governing commons chapter,Telegram,2021-01-06,te praise,20.0,155.0,100.0,0.002443658827,1.83274412,6.032774268,TEC5,TEC2
6138,Tam2140,iviangita,putting much work stewards tec community everyone call sticking around always showing taking responsibilities,Telegram,2021-01-08,te praise,100.0,155.0,230.0,0.0041171064,3.0878298,6.032774268,TEC15,TEC8
6141,Tam2140,JessicaZartler,valuable time feedback joining communications working group call today thank,Telegram,2021-01-12,te praise,20.0,25.0,45.0,0.0007577357279,0.5683017959,6.032774268,TEC1,TEC12
6142,Tam2140,freedumbs00,guiding light migration zenhub,Telegram,2021-01-13,te praise,100.0,300.0,200.0,0.005277561028,3.958170771,6.032774268,TEC17,TEC8
6146,Tam2140,sembrestels,calls today sometimes may feel bit lost since building things exist yet case sometimes along makes total difference thank help,Telegram,2021-01-15,te praise,60.0,25.0,80.0,0.001357996994,1.018497745,6.032774268,TEC15,TEC16
6149,krrisis,GriffGreen,donating commons stack community fund panvala league grant,Telegram,2021-01-05,commons stack,60.0,100.0,60.0,0.001922898666,1.442174,5.475920904,TEC13,TEC13
6160,elihanover,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,5.432965013,TEC5,TEC13
6162,burrrata,GriffGreen,donating commons stack community fund panvala league grant,Telegram,2021-01-05,commons stack,60.0,100.0,60.0,0.001922898666,1.442174,4.992024601,TEC13,TEC13
6163,burrrata,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,4.992024601,TEC5,TEC13
6164,burrrata,GriffGreen,donating commons simulator grant btw watch email week special invite first play game completely done,Telegram,2021-01-05,commons stack,45.0,55.0,40.0,0.001210085352,0.9075640141,4.992024601,TEC5,TEC16
6165,MerlinEgalite,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,4.833523635,TEC5,TEC13
6170,metaverde,freedumbs00,coming tec open house,Telegram,2021-01-13,te praise,30.0,55.0,30.0,0.00100961889,0.7572141674,4.689140379,TEC15,TEC12
6178,trentmc0,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,4.601069696,TEC5,TEC13
6181,TokenBrice,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,4.601069696,TEC5,TEC13
6192,HBesso31,JuankBell,influence making experience tec something unforgettable motivating enlightening much gratitude admiration respect,Telegram,2021-01-02,te praise,20.0,25.0,15.0,0.0005212732072,0.3909549054,4.597914705,TEC15,TEC16
6198,boring877,iviangita,helping gardens swarm perfect request funding 1hive community,Telegram,2021-01-15,te praise,120.0,35.0,100.0,0.002098560276,1.573920207,4.276050601,TEC15,TEC13
6201,ygganderson,GriffGreen,donating commons stack community fund panvala league grant,Telegram,2021-01-05,commons stack,60.0,100.0,60.0,0.001922898666,1.442174,4.232451467,TEC13,TE8
6202,ygganderson,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,4.232451467,TEC5,TEC13
6208,ygganderson,GriffGreen,amazing lab session today,Telegram,2021-01-08,cadcad org,300.0,100.0,200.0,0.004972720381,3.729540286,4.232451467,TEC9,TEC9
6210,ygganderson,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-01-09,te commons,40.0,25.0,10.0,0.0006440569497,0.4830427123,4.232451467,TEC1,TEC12
6216,ygganderson,zeptimusQ,contributions every week uploading labs recordings find interesting adding playlist keeping flow thanks,Telegram,2021-01-14,te praise,200.0,55.0,120.0,0.003097656834,2.323242626,4.232451467,TEC9,TEC15
6222,willjgriff,iviangita,helping gardens swarm perfect request funding 1hive community,Telegram,2021-01-15,te praise,120.0,35.0,100.0,0.002098560276,1.573920207,3.857746717,TEC15,TEC13
6223,markop,iviangita,tough job really well community,Telegram,2021-01-02,te praise,400.0,300.0,350.0,0.008892786071,6.669589553,3.826099636,TEC15,TE8
6224,markop,JuankBell,influence making experience tec something unforgettable motivating enlightening much gratitude admiration respect,Telegram,2021-01-02,te praise,20.0,25.0,15.0,0.0005212732072,0.3909549054,3.826099636,TEC15,TEC16
6240,rogervs#1094,jeffemmett,super cool cadcad wrapper praise working time,Telegram,2021-01-03,cadcad org,100.0,30.0,60.0,0.001572913196,1.179684897,3.463135165,TEC16,TEC14
6244,NukeManDan,GriffGreen,donating token engineering commons gitcoin grant,Telegram,2021-01-05,commons stack,125.0,100.0,130.0,0.003001775576,2.251331682,3.158895696,TEC5,TEC13
6247,sepu85,GriffGreen,mentioning us retweeting us socials december thank helping us growing commons stack community spreading message,Telegram,2021-01-04,commons stack,45.0,25.0,10.0,0.0006846054904,0.5134541178,3.155740705,TEC1,TEC12
6254,PKK777,cranders71,joining te praise channel welcome happy,Telegram,2021-01-03,te praise,1.0,25.0,1.0,0.0002568395764,0.1926296823,2.413424545,TEC16,TEC12
6259,fiorebotta,fiorebotta,hours work related changes needed hatch page,Telegram,2021-01-04,gardens swarm,300.0,200.0,230.0,0.006172574038,4.629430529,1.573232033,TEC6,TEC5
6270,tze42,GriffGreen,donating commons stack community fund panvala league grant,Telegram,2021-01-05,commons stack,60.0,100.0,60.0,0.001922898666,1.442174,1.442174,TEC13,TEC13
6273,mzargham,GriffGreen,mentioning us retweeting us socials december thank helping us growing commons stack community spreading message,Telegram,2021-01-04,commons stack,45.0,25.0,10.0,0.0006846054904,0.5134541178,1.421018132,TEC1,TE7
6280,daithic,iviangita,joining tec weekly sync,Telegram,2021-01-15,te praise,10.0,25.0,40.0,0.0006372282264,0.4779211698,1.168722178,TEC15,TEC12
6283,fabimol,sembrestels,coming gardens swarm weekly sync,Telegram,2021-01-04,te praise,20.0,25.0,40.0,0.0007183253078,0.5387439808,1.114455121,TEC5,TEC5
6290,wipabramson,GriffGreen,donating commons simulator grant btw watch email week special invite first play game completely done,Telegram,2021-01-05,commons stack,45.0,55.0,40.0,0.001210085352,0.9075640141,0.9075640141,TEC5,TEC13
6291,tjayrush,GriffGreen,donating commons simulator grant btw watch email week special invite first play game completely done,Telegram,2021-01-05,commons stack,45.0,55.0,40.0,0.001210085352,0.9075640141,0.9075640141,TEC5,TEC13
6292,orishim,GriffGreen,donating commons simulator grant btw watch email week special invite first play game completely done,Telegram,2021-01-05,commons stack,45.0,55.0,40.0,0.001210085352,0.9075640141,0.9075640141,TEC5,TEC16
6293,jasselnorm,GriffGreen,donating commons simulator grant btw watch email week special invite first play game completely done,Telegram,2021-01-05,commons stack,45.0,55.0,40.0,0.001210085352,0.9075640141,0.9075640141,TEC5,TEC13
6300,vivszaid,vivszaid,min work getting speed whats done code review tec ui pr,Telegram,2021-01-06,gardens swarm,30.0,25.0,30.0,0.0007206015488,0.5404511616,0.8923191307,TEC15,TEC14
6313,BlairV,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-01-09,te commons,40.0,25.0,10.0,0.0006440569497,0.4830427123,0.7836169916,TEC1,TEC12
6320,sethfork,liviade,joining book club call yesterday,Telegram,2021-01-06,te praise,25.0,25.0,40.0,0.0007588738484,0.5691553863,0.5691553863,TEC2,TEC12
6322,mercedesrodsim,JessicaZartler,joining te praise channel welcome mercedes,Telegram,2021-01-07,te praise,1.0,15.0,1.0,0.0001605004627,0.120375347,0.5408880675,TEC16,TEC15
6326,unquaLe,GriffGreen,mentioning us retweeting us socials december thank helping us growing commons stack community spreading message,Telegram,2021-01-04,commons stack,45.0,25.0,10.0,0.0006846054904,0.5134541178,0.5134541178,TEC1,TEC12
6329,owocki,GriffGreen,mentioning us retweeting us socials december thank helping us growing commons stack community spreading message,Telegram,2021-01-04,commons stack,45.0,25.0,10.0,0.0006846054904,0.5134541178,0.5134541178,TEC1,TEC12
6333,felixfalafel,GriffGreen,mentioning us retweeting us socials december thank helping us growing commons stack community spreading message,Telegram,2021-01-04,commons stack,45.0,25.0,10.0,0.0006846054904,0.5134541178,0.5134541178,TEC1,TEC12
6336,cpt_grog,GriffGreen,mentioning us retweeting us socials december thank helping us growing commons stack community spreading message,Telegram,2021-01-04,commons stack,45.0,25.0,10.0,0.0006846054904,0.5134541178,0.5134541178,TEC1,TEC12
6348,sembrestels,sembrestels,working 5h implementing impact hours aragon app tests still done https github com tecommons impact hours app,Telegram,2020-12-20,gardens swarm,200.0,500.0,300.0,0.02020341274,8.754812187,36.30541675,TEC5,TEC5
6350,sembrestels,sembrestels,3h work onboarding adria going review smart contracts discussing fiore best way show hatch goals cstk limit cultural tribute hatch frontend,Telegram,2020-12-28,gardens swarm,150.0,400.0,250.0,0.01613289069,6.990919299,36.30541675,TEC6,TE5
6353,sembrestels,sembrestels,attending last week tech spec meeting,Telegram,2020-12-21,te praise,20.0,25.0,50.0,0.001902079105,0.824234279,36.30541675,TEC5,TEC12
6357,sembrestels,GriffGreen,joining commons stack simulator sync continuing push project finish line,Telegram,2020-12-23,cs ddev team,20.0,25.0,50.0,0.001902079105,0.824234279,36.30541675,TEC5,TEC12
6358,sembrestels,iviangita,hitting first milestone commons simulator,Telegram,2020-12-27,te praise,30.0,25.0,25.0,0.001644562287,0.7126436575,36.30541675,TEC5,TE5
6363,Santigs67,Tonga2020,legal workings also attending meetings,Telegram,2020-12-19,te praise,150.0,200.0,200.0,0.01116380483,4.837648762,21.60361373,TEC4,TEC4
6369,Santigs67,iviangita,joining cagatio event last thursday,Telegram,2020-12-27,te praise,30.0,25.0,50.0,0.00212348949,0.9201787788,21.60361373,TEC1,TEC12
6373,Santigs67,GriffGreen,donating commons stack iteration gitcoin grant helping us raise 14 000 dai build future high functioning public goods focused economies,Telegram,2020-12-23,commons stack,20.0,25.0,25.0,0.001423151902,0.6166991577,21.60361373,TEC2,TEC13
6386,cranders71,iviangita,work outside community also listening every call,Telegram,2020-12-27,te praise,60.0,25.0,100.0,0.003745575048,1.623082521,20.92601188,TEC15,TEC15
6390,cranders71,GriffGreen,donating commons stack iteration gitcoin grant helping us raise 14 000 dai build future high functioning public goods focused economies,Telegram,2020-12-23,commons stack,20.0,25.0,25.0,0.001423151902,0.6166991577,20.92601188,TEC2,TEC13
6393,Sponnet2,iviangita,awesome accomplishments tec project,Telegram,2020-12-27,te praise,500.0,750.0,400.0,0.03377547239,14.63603803,16.22782831,TEC15,TEC15
6394,Sponnet2,GriffGreen,great idea adding praise bot swiss membership dapp channel,Telegram,2020-12-19,cstk token dapp,100.0,25.0,50.0,0.003673362179,1.591790277,16.22782831,TEC5,TEC14
6404,Tonga2020,freedumbs00,hatch params call,Telegram,2020-12-23,te praise,20.0,25.0,40.0,0.001710508224,0.7412202305,14.34013824,TEC3,TEC12
6405,Tonga2020,liviade,joining last soft gov call,Telegram,2020-12-28,te praise,20.0,25.0,40.0,0.001710508224,0.7412202305,14.34013824,TEC2,TEC12
6411,zeptimusQ,freedumbs00,hatch params call,Telegram,2020-12-23,te praise,20.0,25.0,40.0,0.001710508224,0.7412202305,11.37618516,TEC3,TEC12
6415,zeptimusQ,sembrestels,attending last week tech spec meeting,Telegram,2020-12-21,te praise,20.0,25.0,20.0,0.001327366462,0.5751921334,11.37618516,TEC5,TEC14
6420,aminlatifi,freedumbs00,hardwork sponnet2 work towards commons miss guys,Telegram,2020-12-22,swiss membership cstk token dapp,200.0,300.0,200.0,0.01427647248,6.186471408,8.972174448,TEC5,TE6
6422,ygganderson,sembrestels,attending last week tech spec meeting,Telegram,2020-12-21,te praise,20.0,25.0,30.0,0.001518937343,0.658206182,7.461376747,TEC5,TEC5
6426,ygganderson,Tonga2020,amazing tec lab offering,Telegram,2020-12-19,duplicate,0.0,0.0,0.0,0.0,0.0,7.461376747,TEC9,TEC9
6431,fabiosmendes,iviangita,hitting first milestone commons simulator,Telegram,2020-12-27,te praise,30.0,25.0,25.0,0.001644562287,0.7126436575,6.503418603,TEC5,TEC5
6441,MerlinEgalite,GriffGreen,joining commons stack simulator sync sooooo close issues tackle,Telegram,2020-12-30,cs ddev team,20.0,25.0,25.0,0.001423151902,0.6166991577,6.407474103,TEC5,TEC14
6448,mateodaza,iviangita,helping juan community building colombia inviting giveth,Telegram,2020-12-27,te praise,150.0,200.0,200.0,0.01116380483,4.837648762,6.021290811,TEC15,TEC15
6472,paulo_c2d,Tonga2020,many hours spend coding go unnoticed many times,Telegram,2020-12-19,duplicate,0.0,0.0,0.0,0.0,0.0,5.202598386,TEC2,TEC5
6488,GriffGreen,sembrestels,attending last week tech spec meeting,Telegram,2020-12-21,te praise,,,,0.0,1.790633609,5.103338567,TEC5,TEC12
6495,GriffGreen,iviangita,onboarding mateo tec project,Telegram,2020-12-27,te praise,,,,0.0,1.790633609,5.103338567,TEC15,TEC6
