0,1,max_intersection_similarity,jaccard_similarity,spacy_similarity
136,joining legal weekly sync,TEC4,TEC4,TEC4
137,joining legal weekly call,TEC4,TEC4,TEC4
138,attending comms call,TEC1,TEC1,TEC1
139,joining soft gov call yesterday,TEC2,TEC2,TEC2
140,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
141,te academy kickoff,,,TEC7
142,initiating new ecosystem value flows course te academy,,,TEC4
143,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
144,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
145,cadcad bootcamp sessions,,,TEC9
146,good job cadcad course,,,TEC2
147,awesome job hosting cadcad bootcamp,,,TEC1
148,work running cadcad bootcamp,,,TEC15
149,taking leading cadcad community call tomorrow,TEC15,TEC15,TEC2
150,presenting cadcad bootcamp first cadcad model wednesday community call,TEC15,TEC15,TEC1
151,comms help labs great co facilitator,TEC9,TEC9,TEC1
152,agreeing help step community engagement coordination educational opportunities cadcad community,TEC15,TEC15,TEC15
153,joining bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,,,TEC2
154,jumping deep end te waters welcome,,,TEC2
155,help cadcad bootcamp,,,TEC15
156,taking us way cadcad bootcamp labs super present humble willing help ways amazing,TEC9,TEC9,TEC2
157,cadcad bootcamp sessions,,,TEC9
158,good job cadcad course,,,TEC2
159,awesome job hosting cadcad bootcamp,,,TEC1
160,work running cadcad bootcamp,,,TEC15
161,inspired discussions around holistic well flow energy,,,TEC1
162,organizing cadcad bootcamp every friday,,,TEC1
163,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
164,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
165,delightful blogpost https medium com token engineering commons economy choice v2 4f7c9fb42d99,TEC5,TEC5,TEC1
166,many community members user testing last month slowly surely make project something proud release,TEC15,TEC15,TEC2
167,attending 1hive tec hatch params party individuals attendance praise channel help join us,TEC3,TEC3,TEC2
168,highly productive community stewards call,TEC15,TEC15,TEC8
169,joining hatch communications hack session,TEC1,TEC6,TEC1
170,helping suga taking block,,,TEC2
171,contributions glossary,,,TEC1
172,yesterday restrospective meeting awesome sprint,,,TEC2
173,joining community stewards sync yesterday,TEC15,TEC15,TEC8
174,joining common swarm weekly sync,TEC5,TEC5,TEC5
175,joining comms wg call,TEC1,TEC1,TEC1
176,joining legal weekly call,TEC4,TEC4,TEC4
177,joining soft gov call yesterday,TEC2,TEC2,TEC2
178,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
179,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
180,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
181,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
182,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
183,bot server hacking ivy already catching praise channel command glitch making count,TEC16,TEC16,TEC5
184,work praisebot,,,TEC1
185,work discord bots,TEC1,TEC1,TEC17
186,looking bot issue apostrophes,,,TEC5
187,solving praise bot apostrophe issue,TEC16,TEC16,TEC2
188,working apostrophe issue praise bot,TEC16,TEC16,TEC2
189,working apostrophe issue praise bot,TEC16,TEC16,TEC2
190,jake countless hours put building dashboard ready play,TEC15,TEC15,TEC2
191,hosting params party jess joined,TEC3,TEC3,TEC3
192,hosting leading lot params parties,TEC3,TEC3,TEC3
193,running hatch params parties,TEC3,TEC3,TEC3
194,params party going,TEC3,TEC3,TEC3
195,awesome memes,,,TEC1
196,excellent work hatch dashboard,TEC6,TEC6,TEC6
197,amazing memes week,,,TEC1
198,putting together params party,TEC3,TEC3,TEC3
199,attending one today params parties tec,TEC3,TEC3,TEC3
200,coming hatch dashboard party today,TEC3,TEC6,TEC2
201,epic hour sync call comms tec greatly anticipated video working,TEC1,TEC15,TEC10
202,energy onboarding video looling super sweet thanks buddy,TEC6,TEC6,TEC10
203,valuable content contributions tec,TEC15,TEC15,TEC1
204,awesome contributions content video,,,TEC1
205,great comms videos,TEC1,TEC1,TEC1
206,sharing draft tec video comms call today,TEC1,TEC15,TEC1
207,highly productive community stewards call,TEC15,TEC15,TEC8
208,awesome people interacted juan recently conversations amazing,,,TEC1
209,joining community stewards sync yesterday,TEC15,TEC15,TEC8
210,joining legal weekly sync,TEC4,TEC4,TEC4
211,joining comms wg call,TEC1,TEC1,TEC1
212,joining legal weekly call,TEC4,TEC4,TEC4
213,attending comms call,TEC1,TEC1,TEC1
214,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
215,amazing work proposal terms document,,,TEC1
216,continuous work legal,TEC4,TEC4,TEC4
217,get enough praise huge contributions legal,TEC4,TEC4,TEC16
218,awesome people interacted juan recently conversations amazing,,,TEC1
219,joining legal wg past weeks dealt legal issues ahead time,TEC4,TEC4,TEC4
220,joining legal weekly sync,TEC4,TEC4,TEC4
221,joining legal weekly call,TEC4,TEC4,TEC4
222,initiative onboarding framework looks really cool,TEC6,TEC6,TEC2
223,great meeting touching base presentation structure,TEC1,TEC1,TEC1
224,valuable content contributions tec,TEC15,TEC15,TEC1
225,inviting suga modules,,,TEC15
226,joining comms wg call,TEC1,TEC1,TEC1
227,12h working adding timelock create vote permission https github com commonsswarm hatch template pull,TEC2,TEC6,TEC2
228,3h work improving migration tools documentation safety,,,TEC14
229,2h validating pinning commons swarm contracts apps https hackmd io qijhpciir6uzxktbifzi7g commons swarm apps,TEC5,TEC5,TEC5
230,2h going back forth writing posts found better way parameterize impact hour formula https forum tecommons org impact hour rate deep dive 13,TEC1,TEC1,TEC2
231,making badass gantt chart hackmd,,,TEC5
232,jake countless hours put building dashboard ready play,TEC15,TEC15,TEC2
233,hack sessions paulo past weeks,,,TEC2
234,1h reviewing commons swarm weekly updates,TEC5,TEC5,TEC5
235,1h updating implementation specification https forum tecommons org tec test hatch implementation specification 7,TEC1,TEC15,TEC14
236,1h work commons swarm weekly updates,TEC5,TEC5,TEC5
237,hosting leading lot params parties,TEC3,TEC3,TEC3
238,two weeks working hard madrid,,,TEC2
239,awesome work bonding curve modelling helping params dashboard,TEC3,TEC3,TEC1
240,tec hatch config dashboard looking cool amazing basically done dashboard awesome evolves time,TEC6,TEC15,TEC5
241,building amazing stuff architects amazing tools,TEC15,TEC15,TEC15
242,amazing hackathon week paulo,,,TEC1
243,working hatch backend,TEC6,TEC6,TEC5
244,heros capes,,,TEC5
245,hanging eduardo real life,,,TEC16
246,running hatch params parties,TEC3,TEC3,TEC3
247,params party going,TEC3,TEC3,TEC3
248,latest hatch demo,TEC6,TEC6,TEC5
249,things suga see,,,TEC2
250,joining santi project launching around art,TEC8,TEC8,TEC1
251,cool params session,TEC3,TEC3,TEC3
252,showing many cstk tokens total param party also leading one,TEC3,TEC3,TEC2
253,awesome people interacted juan recently conversations amazing,,,TEC1
254,heroes capes,,,TEC16
255,coming hatch dashboard party today,TEC3,TEC6,TEC2
256,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
257,joining common swarm weekly sync,TEC5,TEC5,TEC5
258,joining common swarm yesterday,TEC5,TEC5,TEC2
259,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
260,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
261,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
262,17h work polishing hatch frontend making responsive well deploying hatch demo pr https github com commonsswarm tec hatch pull,TEC6,TEC15,TEC5
263,9h work circle graph goals component updating frontend tec ui prs https github com commonsswarm tec hatch pull https github com commonsswarm tec ui commit 07a006289f4b4146093095a3a9f05e221e71e223,TEC6,TEC15,TEC5
264,6h work improving hatch connector updating subgraph mappings adding contract cache mechanism fetch contract handlers demand prs https github com commonsswarm hatch connector pull https github com commonsswarm hatch connector commit 0e2b21d80f7303ee86105050655bd82161f1be48,TEC6,TEC6,TEC5
265,3h work implementing error modal component handle subgraph connection errors migrating tecommons packages commonsswarm frontend connector prs https github com commonsswarm tec hatch pull commits decb1fe9cc08f5ed9d1897622145ba1f97f5e1b2 https github com commonsswarm tec hatch pull https github com commonsswarm hatch connector pull https github com commonsswarm hatch connector pull,TEC6,TEC15,TEC5
266,two weeks working hard madrid,,,TEC2
267,hackathon sem finish hatch frontend,TEC6,TEC6,TEC5
268,working hatch backend,TEC6,TEC6,TEC5
269,heros capes,,,TEC5
270,work putting tec hatch awesome demo,TEC6,TEC15,TEC5
271,meeting sem person meeting away keyboard makes community solid,TEC15,TEC15,TEC2
272,running hatch params parties,TEC3,TEC3,TEC3
273,forum post latest hatch demo,TEC1,TEC6,TEC1
274,heroes capes,,,TEC16
275,coming hatch dashboard party today,TEC3,TEC6,TEC2
276,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
277,joining common swarm weekly sync,TEC5,TEC5,TEC5
278,joining common swarm yesterday,TEC5,TEC5,TEC2
279,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
280,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
281,inspiring helpful discussion cadcad bootcamp lab today,TEC9,TEC9,TEC1
282,great piece decentralized decision making https www regenerativeteams com 04 next frontier decentralised governance collaborative sense making,,,TEC2
283,work supporting cadcad community education,TEC15,TEC15,TEC15
284,hardwork survey rock man,TEC2,TEC7,TEC2
285,amazing repository working group https github com commonsbuild tec info tree main wg digest,TEC15,TEC15,TEC5
286,always around,,,TEC2
287,things suga see,,,TEC2
288,awesome people interacted juan recently conversations amazing,,,TEC1
289,coming hatch dashboard party today,TEC3,TEC6,TEC2
290,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
291,jake countless hours put building dashboard ready play,TEC15,TEC15,TEC2
292,tec hatch config dashboard looking cool amazing basically done dashboard awesome evolves time,TEC6,TEC15,TEC5
293,wearing cs swag cap,,,TEC5
294,active participation cadcad bootcamp,TEC12,TEC12,TEC12
295,inspired discussions around holistic well flow energy,,,TEC1
296,new simulator article agreeing meet manu work giveth,TEC1,TEC1,TEC2
297,excellent work hatch dashboard,TEC6,TEC6,TEC6
298,always around,,,TEC2
299,voting mvv sharing,TEC2,TEC2,TEC2
300,things suga see,,,TEC2
301,great work commons simulator deep dive series,TEC5,TEC5,TEC15
302,deep dive series,,,TEC7
303,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
304,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
305,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
306,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
307,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
308,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
309,hatch videos always making better hatch party facilitating https discord com channels 810180622165213222,TEC3,TEC6,TEC2
310,guiding vyvy compensation commons stack awesome prelude text milestone really made feel appreciated driven params parties welcoming manu officially builder hosting params parties guidance help chuy,TEC3,TEC3,TEC1
311,work around dashboard,,,TEC1
312,jake countless hours put building dashboard ready play,TEC15,TEC15,TEC2
313,hosting leading lot params parties,TEC3,TEC3,TEC3
314,hosting meme parties really educating params thoughtfully answering queries,TEC3,TEC3,TEC1
315,param party surge next days think gonna go,TEC3,TEC3,TEC2
316,params party going,TEC3,TEC3,TEC3
317,tec hatch config dashboard looking cool amazing basically done dashboard awesome evolves time,TEC6,TEC15,TEC5
318,hosting meme parties really educating params thoughtfully answering queries working params dashboard,TEC3,TEC3,TEC1
319,working hatch backend,TEC6,TEC6,TEC5
320,amazing customer service specialist,,,TEC1
321,continuous evolution swiss membership dapp,TEC5,TEC5,TEC7
322,memes,,,TEC1
323,joining hatch communications hack session,TEC1,TEC6,TEC1
324,mvv runoff,,,TEC2
325,attending meetings awesome,,,TEC1
326,always around,,,TEC2
327,active piece softgov making better every time,,,TEC2
328,quick catch eduardo effective multitasking bringing massive energy tec,TEC15,TEC15,TEC15
329,work params pushing chuy try,TEC3,TEC3,TEC3
330,tireless spirit always holding space even long stretches hard work,,,TEC16
331,joining legal weekly sync,TEC4,TEC4,TEC4
332,streaming milestones,,,TEC10
333,awesome memes,,,TEC1
334,highly productive community stewards call,TEC15,TEC15,TEC8
335,joining mvv runoff polishing session,,,TEC2
336,yesterday restrospective meeting awesome sprint,,,TEC2
337,great team peers work,,,TEC16
338,amazing memes week,,,TEC1
339,coordination proactive,,,TEC14
340,participating mvv polishing,,,TEC13
341,awesome people interacted juan recently conversations amazing,,,TEC1
342,joining community stewards sync yesterday,TEC15,TEC15,TEC8
343,joining legal wg past weeks dealt legal issues ahead time,TEC4,TEC4,TEC4
344,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
345,joining common swarm weekly sync,TEC5,TEC5,TEC5
346,joining comms wg call,TEC1,TEC1,TEC1
347,joining legal weekly call,TEC4,TEC4,TEC4
348,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
349,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
350,attending comms call,TEC1,TEC1,TEC1
351,joining common swarm yesterday,TEC5,TEC5,TEC2
352,joining soft gov call yesterday,TEC2,TEC2,TEC2
353,joining hatch outreach call,TEC6,TEC6,TEC6
354,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
355,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
356,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
357,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
358,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
359,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
360,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
361,tec case study,TEC15,TEC15,TEC15
362,awesome work studying praise system distilling learning case study,TEC16,TEC16,TEC1
363,pushing get hatch dashboard,TEC6,TEC6,TEC5
364,hosting params party deep awesome discussion,TEC3,TEC3,TEC3
365,jake countless hours put building dashboard ready play,TEC15,TEC15,TEC2
366,hosting leading lot params parties,TEC3,TEC3,TEC3
367,hosting meme parties really educating params thoughtfully answering queries,TEC3,TEC3,TEC1
368,tec hatch config dashboard looking cool amazing basically done dashboard awesome evolves time,TEC6,TEC15,TEC5
369,hosting meme parties really educating params thoughtfully answering queries working params dashboard,TEC3,TEC3,TEC1
370,working hatch dashboard used intuitive swift work love vyvy,TEC6,TEC6,TEC1
371,work dashboard,,,TEC1
372,hosting params party manu joined,TEC3,TEC3,TEC3
373,excellent work hatch dashboard,TEC6,TEC6,TEC6
374,work params pushing chuy try,TEC3,TEC3,TEC3
375,great work commons simulator deep dive series,TEC5,TEC5,TEC15
376,awesome people interacted juan recently conversations amazing,,,TEC1
377,deep dive series,,,TEC7
378,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
379,joining commons stack simulator sync continuing improve game,TEC5,TEC5,TEC5
380,sourcecred work continuing attending cadcad bootcamp,,,TEC1
381,making sourcecred better still super careful,,,TEC2
382,zep praise enough lot,TEC16,TEC16,TEC16
383,wearing great commons stack hat soft gov,TEC2,TEC2,TEC2
384,joining first sourcecred committee call creating issues next steps,,,TEC2
385,launching first group sourcecred committee,,,TEC2
386,always around,,,TEC2
387,active piece softgov making better every time,,,TEC2
388,joining sourcecred committee call yesterday,,,TEC2
389,work sourcecred committee,,,TEC2
390,awesome people interacted juan recently conversations amazing,,,TEC1
391,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
392,joining soft gov call yesterday,TEC2,TEC2,TEC2
393,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
394,take lead work sesh consilience,,,TEC2
395,engagement ecosystem,,,TEC1
396,joining bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,,,TEC2
397,biweekly 0mega calls becoming one chuys favorite spaces tec,TEC15,TEC15,TEC2
398,hosting hatch params party 1hive,TEC3,TEC3,TEC3
399,1h reviewing commons swarm weekly updates,TEC5,TEC5,TEC5
400,1h reviewing commons swarm weekly updates tec forum,TEC5,TEC5,TEC5
401,1h work commons swarm weekly updates,TEC5,TEC5,TEC5
402,1h work commons swarm weekly updates tec forum,TEC5,TEC5,TEC5
403,work comms answering manus questions helping content video guiding zepti honeyswap farming 1on1 eduardo leading comms content distribution work comms,TEC1,TEC1,TEC1
404,attending 1hive tec hatch params party individuals attendance praise channel help join us,TEC3,TEC3,TEC2
405,much grace approach things work comms taking comms duties holding ground working group many calls,TEC1,TEC1,TEC2
406,many community members user testing last month slowly surely make project something proud release,TEC15,TEC15,TEC2
407,updating youtube description adding glossary good adition,TEC10,TEC10,TEC1
408,awesome memes,,,TEC1
409,always around,,,TEC2
410,present transparency sync call today,TEC10,TEC10,TEC10
411,joining bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,,,TEC2
412,highly productive community stewards call,TEC15,TEC15,TEC8
413,joining hatch communications hack session,TEC1,TEC6,TEC1
414,work comms,TEC1,TEC1,TEC1
415,getting ball rolling hatch campaigns,TEC6,TEC6,TEC2
416,active piece softgov making better every time,,,TEC2
417,joining santi project launching around art,TEC8,TEC8,TEC1
418,improving transparency comms,TEC10,TEC10,TEC14
419,awesome perspectives cinema development coordinating commons dao,TEC5,TEC5,TEC1
420,yesterday restrospective meeting awesome sprint,,,TEC2
421,masana temples recommendation nice mix low high beats,,,TEC2
422,attending seo hack session,TEC1,TEC1,TEC1
423,making stewards call groovy,TEC8,TEC8,TEC8
424,amazing memes week,,,TEC1
425,coming first content workshop,,,TEC1
426,joining sourcecred committee call yesterday,,,TEC2
427,awesome people interacted juan recently conversations amazing,,,TEC1
428,thoughtfulness care approach work,,,TEC16
429,helping suga technical stuff,TEC14,TEC14,TEC14
430,joining community stewards sync yesterday,TEC15,TEC15,TEC8
431,joining legal wg past weeks dealt legal issues ahead time,TEC4,TEC4,TEC4
432,great work comms,TEC1,TEC1,TEC1
433,attending tec community call https youtu fvlttushrbg,TEC15,TEC15,TEC15
434,joining legal weekly sync,TEC4,TEC4,TEC4
435,joining common swarm weekly sync,TEC5,TEC5,TEC5
436,joining comms wg call,TEC1,TEC1,TEC1
437,joining legal weekly call,TEC4,TEC4,TEC4
438,attending comms call,TEC1,TEC1,TEC1
439,joining common swarm yesterday,TEC5,TEC5,TEC2
440,joining soft gov call yesterday,TEC2,TEC2,TEC2
441,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
442,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
443,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
444,always around,,,TEC2
445,work bridge builder ecosystem,,,TEC15
446,joining comms wg call,TEC1,TEC1,TEC1
447,awesome people interacted juan recently conversations amazing,,,TEC1
