,Handle,Impact Hours,% of distribution
133,KZ Flyer#0926,8.675149238,0.0010157191688496857
134,nelsonm,8.479425808,0.000992803131996602
135,petheth,8.277802367,0.0009691962996188863
136,tjayrush,8.187030795,0.0009585684218570653
137,krisparuch,8.116949457,0.0009503630346720899
138,PaulaBerman#9915,7.74262956,0.000906536250344355
139,josiprajevic,7.737642936,0.0009059523976121784
140,rpp63,7.469808634,0.0008745933480842195
141,cpt_grog,7.394723068,0.0008658020470243994
142,brutalfluffy,7.365313811,0.0008623587003732917
143,jakublanc,7.078186392,0.000828740739992489
144,castall,7.060808474,0.0008267060678568234
145,andfletcher,6.880227526,0.0008055629698673144
146,thebeautyway,6.868214902,0.0008041564865746079
147,glefevre,6.710441694,0.0007856838047451648
148,antoniopaglino,6.664252544,0.0007802758049793085
149,stephen_yo,6.262482599,0.0007332350655743151
150,xlcrr,6.160403201,0.0007212832249259645
151,morgangr,5.864843576,0.0006866779900862541
152,nukemandan,5.744592804,0.0006725985764832748
153,solarpunk_girl,5.672701119,0.0006641812270484611
154,celineflash,5.515662161,0.0006457945139763579
155,melvera,5.450343069,0.0006381467085016532
156,positonic,5.411188157,0.0006335623038324153
157,tokenbrice,5.340856029,0.0006253275532090291
158,kaikai520#0224,5.270801819,0.0006171253422725374
159,rafaelcalcada#1402,5.161465537,0.0006043238382947502
160,maxsong123,5.066937234,0.000593256108308578
161,decentralizesdgs,4.972118105,0.0005821543273182218
162,Typto,4.919895998,0.0005760399662089889
163,renzod5,4.770712762,0.0005585730306763431
164,ryanchrypto,4.754497155,0.0005566744462932312
165,magentaceiba,4.693350647,0.00054951518267944
166,officialnico,4.565946142,0.0005345981830548733
167,willruddick,4.534796888,0.0005309511109970719
168,mercedesrodsim,4.398664927,0.0005150122679308198
169,adriamb,4.33036628,0.0005070156049269692
170,Michal#7390,4.317830185,0.0005055478316766549
171,chanate91,4.263119747,0.0004991421273955868
172,exiledsurfer,4.213925481,0.0004933822773223666
173,davidhq,4.208798528,0.0004927819943419792
174,hxrts,4.065751791,0.00047603354324031303
175,pkk777,3.990468019,0.0004672190354749874
176,Ermini0#7687,3.966123491,0.0004643686863838289
177,bierlingm,3.920019712,0.0004589706821764102
178,gagarine#9410,3.884220995,0.0004547792334670496
179,bends#3537,3.830710858,0.0004485140649509166
180,lescanore,3.770943745,0.0004415163061025742
181,REOS#2250,3.739579903,0.00043784410927296476
182,adaptdao,3.631472528,0.00042518649035840685
183,gcrewe,3.588207798,0.0004201208927080963
184,aleezagroks,3.584432655,0.00041967888473739163
185,codersinblack,3.498741416,0.00040964583151065014
186,smokyish,3.460194673,0.0004051326335600811
187,alexholman,3.449693932,0.0004039031672272016
188,monstros1ty,3.397212824,0.00039775848130473094
189,LeonS#5914,3.343350634,0.00039145209309649344
190,thelastjosh,3.310017348,0.00038754930634065954
191,lanski13,3.304420306,0.0003868939835684178
192,WhyldWanderer#7002,3.288681486,0.0003850512232042445
193,staccop2p,3.204968999,0.00037524984971944864
194,tawhuac,3.19966254,0.00037462854950003505
195,nyanncatt,3.19966254,0.00037462854950003505
196,jodisattva,3.19966254,0.00037462854950003505
197,tze42,3.137411343,0.00036733994473462414
198,orishim,3.125436379,0.00036593787081665554
199,jelena_dragovic,3.117804512,0.00036504430306429276
200,johann#1308,3.028224999,0.0003545559960629833
201,BK#7471,3.028224999,0.0003545559960629833
202,The Blockchain Socialist#5005,2.963931196,0.0003470282352886452
203,cemfd,2.915896682,0.0003414041733506137
204,edendh,2.88282691,0.0003375322398070667
205,blackboxdotart,2.873119247,0.0003363956300354859
206,oedth,2.870010848,0.0003360316869652153
207,barnabemonnot,2.850333502,0.0003337277891329175
208,xqtstrategy,2.736768725,0.00032043119702361187
209,ivanthinking,2.724343554,0.0003189764111732828
210,tech_digger,2.713596376,0.0003177180910676386
211,Rex#1134,2.560843168,0.00029983316975824414
212,ComandoBurrito,2.560843168,0.00029983316975824414
213,terry#6288,2.54061664,0.0002974649716275557
214,🐙 octopus#5508,2.489385263,0.00029146660892071863
215,Mike Elias#4724,2.477678574,0.0002900959456508608
216,CJ_33Logic#3171,2.420608497,0.00028341396594234905
217,Pronoia🐙#2154,2.40845545,0.0002819910413955574
218,pprhsk,2.393205707,0.00028020554400984293
219,jantinine,2.382381662,0.00027893822402613207
220,seedsalchemist,2.365313414,0.0002769398092211924
221,wertuals,2.358338179,0.0002761231224181923
222,"tommy,🐙#3630",2.346531911,0.00027474080006370776
223,kalesalad#3511,2.346531911,0.00027474080006370776
224,yalormewn,2.290676001,0.00026820097960367125
225,flakoubay,2.245699756,0.00026293499132657366
226,michaelr10,2.198583662,0.0002574184614636065
227,andythegreenie#7463,2.060896267,0.00024129750232230646
228,ubipromoter,2.058873157,0.00024106062897853844
229,ferdinandrg,2.058873157,0.00024106062897853844
230,BlockEnthusiast,2.02818803,0.00023746789865916097
231,davidkish,2.023149848,0.0002368780093220257
232,witwiki3,1.970012994,0.00023065654618641167
233,ontologymachine,1.866318619,0.0002185156179441594
234,Mettodo#7010,1.860862024,0.00021787673923601313
235,willyogo,1.818732761,0.00021294408634156274
236,Michel Bauwens#1511,1.810341959,0.00021196165961902407
237,adnfx2#9648,1.755730771,0.00020556757590202255
238,decap#9400,1.736100925,0.00020326923954874914
239,victorid,1.714267953,0.00020071295289995935
