,To,From,Reason for dishing,Server,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,day_of_week,tag,Kmean tag
37,zeptimusQ,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,commons stack,0.017192844951753754,0.004298211237938439,0.28654741586256255,0.06575535949637674,0.09121586293177349,0.534990305519595,Friday,TEC1,#6 cluster
38,zeptimusQ,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,te praise,0.017192844951753754,0.004298211237938439,0.28654741586256255,0.06575535949637674,0.09121586293177349,0.534990305519595,Friday,TEC1,#6 cluster
39,zeptimusQ,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,commons stack,0.017192844951753754,0.004298211237938439,0.28654741586256255,0.06575535949637674,0.09121586293177349,0.534990305519595,Friday,TEC1,#6 cluster
40,zeptimusQ,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,te praise,0.017192844951753754,0.004298211237938439,0.28654741586256255,0.06575535949637674,0.09121586293177349,0.534990305519595,Saturday,TEC1,#6 cluster
41,solsista,iviangita,te academy kickoff,Telegram,te praise,0.4020363157299135,0.00804072631459827,0.03350302631082613,0.2139619978432807,0.2968081752293179,0.04564975857206348,Friday,TEC7,#5 cluster
42,solsista,Suga#8514,enlightening talk morning shifting paradigms bringing decentralized organization people greater good,Commons Stack,praise,0.18011321860422486,0.027016982790633727,0.15009434883685405,0.18358888018314481,0.2546745734488596,0.20451199613628307,Friday,TEC2,#1 cluster
43,solsista,iviangita,omega working group flowering something special necessary community awesome see,Token Engineering Commons,praise,0.02255432984172637,0.056385824604315925,0.18795274868105308,0.19982021404666803,0.27719068660072554,0.2560961962255113,Friday,TEC7,#5 cluster
44,solsista,ddan#2489,leading great session unexpectedly project hoping get work,Token Engineering Commons,praise,0.02255432984172637,0.056385824604315925,0.18795274868105308,0.19982021404666803,0.27719068660072554,0.2560961962255113,Wednesday,TEC8,#5 cluster
45,solsista,liviade,initiating new ecosystem value flows course te academy,Telegram,commons stack,0.03613239456346239,0.048176526084616526,0.20073552535256886,0.1849204196967034,0.2565216855721979,0.2735134487304511,Monday,TEC4,#1 cluster
46,solsista,iviangita,hosting bonfire chat token engineering,Token Engineering Commons,praise,0.024714475666257365,0.04942895133251473,0.20595396388547804,0.18401418617496235,0.255264558066423,0.2806238648743646,Friday,TEC1,#1 cluster
47,solsista,iviangita,biweekly 0mega calls becoming one chuys favorite spaces tec,Token Engineering Commons,praise,0.03467849747677353,0.017339248738386766,0.2889874789731128,0.11110632775291346,0.15412674556115055,0.393761701497663,Friday,TEC15,#1 cluster
48,solsista,iviangita,meeting eduardo proposals guidance process,Token Engineering Commons,praise,0.03467849747677353,0.017339248738386766,0.2889874789731128,0.11110632775291346,0.15412674556115055,0.393761701497663,Friday,TEC4,#1 cluster
49,solsista,iviangita,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,Telegram,te praise,0.03717654714637197,0.009294136786592992,0.3098045595530997,0.09282781982302883,0.12877079152074705,0.42212614517015945,Saturday,TEC1,#1 cluster
50,iviangita,iviangita,always translating praise managing cs twitter,Token Engineering Commons,praise,0.40523785186989786,0.0020261892593494897,0.06753964197831631,0.20385690520718225,0.2827903864271768,0.03854902525807742,Friday,TEC16,#5 cluster
51,iviangita,ygganderson,sorting infinite praise today community call,Token Engineering Commons,praise,0.29018828820474496,0.009672942940158165,0.16121571566930273,0.18720980818526514,0.2596975263307407,0.09201571866978832,Friday,TEC16,#5 cluster
52,iviangita,Letty#5399,bot server hacking ivy already catching praise channel command glitch making count,Token Engineering Commons,omega,0.2222938443949142,0.005557346109872855,0.2778673054936427,0.1627642425663238,0.22578662715770323,0.10573063427754319,Saturday,TEC16,#1 cluster
