,Handle,Total Impact
213,thelastjosh,3.310017348
214,Lanski13,3.304420306
215,WhyldWanderer#7002,3.288681486
216,staccop2p,3.204968999
217,tawhuac,3.19966254
218,nyanncatt,3.19966254
219,jodisattva,3.19966254
220,tze42,3.137411343
221,orishim,3.125436379
222,jelena_dragovic,3.117804512
223,johann#1308,3.028224999
224,BK#7471,3.028224999
225,The Blockchain Socialist#5005,2.963931196
226,cemfd,2.915896682
227,edendh,2.88282691
228,blackboxdotart,2.873119247
229,oedth,2.870010848
230,barnabemonnot,2.850333502
231,XQTStrategy,2.736768725
232,IvanThinking,2.724343554
233,tech_digger,2.713596376
235,ComandoBurrito,2.560843168
234,Rex#1134,2.560843168
236,terry#6288,2.54061664
237,🐙 octopus#5508,2.489385263
238,Mike Elias#4724,2.477678574
239,CJ_33Logic#3171,2.420608497
240,Pronoia🐙#2154,2.40845545
241,pprhsk,2.393205707
242,jantinine,2.382381662
243,Seedsalchemist,2.365313414
110,0,2.358338179
245,kalesalad#3511,2.346531911
244,"tommy,🐙#3630",2.346531911
246,Yalormewn,2.290676001
247,flakoubay,2.245699756
248,michaelr10,2.198583662
249,andythegreenie#7463,2.060896267
251,ferdinandrg,2.058873157
250,ubipromoter,2.058873157
252,BlockEnthusiast,2.02818803
253,davidkish,2.023149848
254,witwiki3,1.970012994
255,ontologymachine,1.866318619
256,Mettodo#7010,1.860862024
257,willyogo,1.818732761
258,Michel Bauwens#1511,1.810341959
259,adnfx2#9648,1.755730771
260,decap#9400,1.736100925
261,victorid,1.714267953
262,kei#9866,1.712771486
263,Kike Bell#8265,1.670794236
264,zeroknowledge#8287,1.651785716
265,rokkranjc,1.651785716
266,ollitiainen,1.651785716
267,emalinus,1.651785716
268,hanna_nevermind,1.650637803
269,JohnKellden,1.636916585
270,Mayu ☪Dev Protocol🌟#8814,1.622523842
271,dysbulic 🐙#3391,1.612676123
272,matslats,1.612069523
273,tunoncedemalis,1.608973975
274,nic#9212,1.587497449
275,Si Chen#0557,1.580190446
276,proofoftom,1.574501561
277,Lin#3884,1.544602616
278,hypereum,1.524384039
279,wipabramson,1.524263172
280,jasselnorm,1.524263172
111,0,1.48536555
281,willszal#6405,1.481151607
150,rogervs#1094,1.457801467
282,meedabyte,1.405743782
283,ZoushHoang#2376,1.384366639
284,maghaali#6154,1.378441511
285,cyotee,1.36032556
286,ajmaq,1.313796728
287,francescovaub,1.303846642
112,0,1.293891748
288,lalogarza,1.290409085
289,cannabiscommunitycare,1.267405073
290,Aggre 🗾🗼 Dev Protocol#3446,1.25115971
291,Thales#8858,1.238263979
292,paul2#3057,1.237900744
293,JoeEchidna,1.237609842
297,CurlyBracketEffect#5572,1.227785219
296,DW#5584,1.227785219
295,enti#1546,1.227785219
294,rod266#3161,1.227785219
298,DeepTroop#4783,1.21627467
299,macerer,1.139267953
300,vasileios_panagiotidis,1.137085788
302,BadJuju#1050,1.135214761
