,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,tag
5174,lkngtn,iviangita,effort communicating 1hive collaborate gardens swarm project ' commons stack,Telegram,2021-02-05,te praise,60.0,50.0,80.0,0.002409166178,1.967485712,1.967485712,TEC5
5175,AdaptDAO,iviangita,joining tec weekly sync,Telegram,2021-02-12,te praise,40.0,25.0,50.0,0.001433134316,1.170393025,1.601904036,TEC15
5176,AdaptDAO,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,1.601904036,TEC1
5177,xgabi,chuygarcia92,attending today gardens swarm weekly meeting,Telegram,2021-02-02,gardens swarm,40.0,25.0,80.0,0.001778975575,1.452830053,1.452830053,TEC5
5178,randomshinichi,GriffGreen,joining commons stack simulator sync continuing push project finish line,Telegram,2021-02-03,cs ddev team,40.0,25.0,80.0,0.001778975575,1.452830053,1.452830053,TEC5
5179,HBesso31,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,1.413612684,TEC1
5180,HBesso31,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-05,te commons,20.0,10.0,15.0,0.0005609218398,0.4580861692,1.413612684,TEC1
5181,HBesso31,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,1.413612684,TEC1
5182,cyotee,liviade,joining hack session staying great discussion anarchy vs community governance,Telegram,2021-02-01,te praise,30.0,25.0,80.0,0.001665704767,1.36032556,1.36032556,TEC15
5183,jeffemmett,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,1.321108191,TEC1
5184,gyalbo,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,1.321108191,TEC1
5185,jeffemmett,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,1.321108191,TEC1
5186,gyalbo,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,1.321108191,TEC1
5187,jeffemmett,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,1.321108191,TEC1
5188,gyalbo,iviangita,mentioning retweeting commons stack socials past week joining telegram channel,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,1.321108191,TEC1
5189,glefevre,iviangita,joining tec weekly sync,Telegram,2021-02-12,te praise,40.0,25.0,50.0,0.001433134316,1.170393025,1.170393025,TEC15
5190,crypt0dawg,iviangita,joining tec weekly sync,Telegram,2021-02-05,te praise,40.0,25.0,50.0,0.001433134316,1.170393025,1.170393025,TEC15
5191,hypereum,liviade,joining code conduct hack session,Telegram,2021-02-01,te praise,20.0,25.0,50.0,0.001206592701,0.9853840388,0.9853840388,TEC1
5192,nelsonm,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,0.9821016729,TEC1
5193,nelsonm,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-05,te commons,20.0,10.0,15.0,0.0005609218398,0.4580861692,0.9821016729,TEC1
5194,trentmc0,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,0.9555265144,TEC1
5195,krrisis,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,0.9555265144,TEC1
5196,antoniopaglino,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,0.9555265144,TEC1
5197,trentmc0,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.9555265144,TEC1
5198,krrisis,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.9555265144,TEC1
5199,antoniopaglino,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.9555265144,TEC1
5200,loie_giveth,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-05,te commons,20.0,10.0,15.0,0.0005609218398,0.4580861692,0.8895971799,TEC1
5201,loie_giveth,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.8895971799,TEC1
5202,unquaLe,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.7970926868,TEC1
5203,thebeautyway,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.7970926868,TEC1
5204,morgangr,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.7970926868,TEC1
5205,MisterBoyfriend,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.7970926868,TEC1
5206,JohnKellden,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.7970926868,TEC1
5207,existenialstoic,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.7970926868,TEC1
5208,unquaLe,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.7970926868,TEC1
5209,thebeautyway,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.7970926868,TEC1
5210,morgangr,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.7970926868,TEC1
5211,MisterBoyfriend,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.7970926868,TEC1
5212,JohnKellden,iviangita,mentioning retweeting commons stack socials past week joining telegram channel,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.7970926868,TEC1
5213,existenialstoic,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.7970926868,TEC1
5214,decentralizesdgs,JessicaZartler,joining te praise channel,Telegram,2021-02-10,te praise,1.0,25.0,30.0,0.0007608173265,0.6213341499,0.6213341499,TEC16
5215,Tonga2020,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-12,te commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,0.5240155037,TEC1
5216,sanolution,cranders71,joining te commons praise channel,Telegram,2021-02-02,te praise,1.0,20.0,25.0,0.0006224473193,0.5083319774,0.5083319774,TEC16
5217,sergei_tran,iviangita,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,Telegram,2021-02-05,te commons,20.0,10.0,15.0,0.0005609218398,0.4580861692,0.4580861692,TEC1
5218,Wunluv,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.4315110107,TEC1
5219,Smokyish,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.4315110107,TEC1
5220,matiasbd,iviangita,mentioning retweeting commons stack socials past week joining cs telegram channel,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.4315110107,TEC1
5221,JonathanBSci,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.4315110107,TEC1
5222,cemfd,iviangita,mentioning retweeting commons stack socials past week joining cs telegram channel,Telegram,2021-02-12,commons stack,10.0,15.0,15.0,0.0005283808294,0.4315110107,0.4315110107,TEC1
5223,Seedsalchemist,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.3655816761,TEC1
5224,owocki,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.3655816761,TEC1
5225,cpt_grog,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-02-05,commons stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.3655816761,TEC1
